Algorithm,Author,Calls I1,Cost I1,Calls I2,Cost I2,Calls I3,Cost I3,Calls I4,Cost I4,Calls I5,Cost I5,Calls I6,Cost I6
Greedy Squirrel 1,d3584,11,398,101,6722,1001,108640,10001,1521589,10001,1735027,10001,1773355
Blindfolded 1,s310582,329,302,630,7363,3080,140062,10001,36475716,10001,80348389,10001,127226872
Hill climbing with self adaptive strength,s323195,335,265,730,7947,1334,170034,2118,2437831,2118,2637136,2118,2520546
HC_3choices,s328946,6003,300,6003,6941,6003,650134,6003,101783208,6003,212517143,6003,333777635
Simulated Annealing,s330260,101,284,1001,6569,10001,124012,100001,1927945,100001,2154868,100001,2102807
greedy + local search,s328754,10002,274,10002,5769,10002,102193,10002,1527988,10002,1667728,10002,1761990
swing algorithm,s333044,71,278,512,7511,5010,123796,50012,2102128,50011,1910697,50014,2183831
BlindWithYou,s331853,201,278,201,20642,201,2305573,201,124566203,201,268547654,201,423510822
LuoZirui,s328249,501,123,1001,7045,100001,634553,1001,120995728,1001,9261937,300001,2999408
Multiple Hill climbing + 1/5 succes rule,s334726,300001,264,250001,6407,80001,127183,10001,42400120,10001,87754292,10001,146410871
Reykjavìk,s322215,10037,285,10028,7466,10392,128270,1441,107852000,1465,233226338,1466,
Still improving,s328846,10050,285,10050,6775,10060,123563,10050,2056798,10050,2153799,10050,2355717
Greedy Algorithm,s332167,29,260,194,5613,774,102498,10721,1512660,6134,1729083,8886,1765025
HotnCold Hill Climber,s317612,10002,262,2731,6707,9381,227748,2841,49249013,2901,108241342,2831,170145579
Simulated Annealing,s317565,12,294,10002,6310,10002,127332,60002,1959470,60002,2149280,60002,2271988
Climbin' with Matilde,s317049,12,264,502,6578,2002,136913,50002,1937237,50002,2529317,50002,2523579
Greedy algorithm,s333503,12,259,31,5743,57,100131,120,1522704,155,1733689,179,1771595
Tabu+simulated annealing,s324870,30005,132,62010,6160,32007,138554,43009,13050997,54011,28286514,65013,40296867
Tabu search,s322789,1000,310,1000,6968,1000,3833020,1000,248661800,1000,532971688,1000,832482498
RMHC (with multiple mutations),s333017,10003,276,10020,6583,10006,204360,10004,3320313,10004,4793621,10004,11519921
Humble Climber,s326811,1000,274,1800,6900,2000,900000,2100,100000000,2200,218903000,2240,344000000
Simulated Annealing 1377,s322574,1377,290,1377,6921,1377,963138,1377,103893102,1377,13560126,1377,346929527
greedy+tabu,s329299,100,277,1000,5868,10000,107812,10000,1518872,10000,1734564,10000,1774409
HC EX_PLO_TATION,s305133,75,295,5987,6469,9726,127510,10000,17801220,9992,79258698,10000,181306421
Cost Climber,s335250,11074,276,18097,6600,19861,131689,20001,75373831,20001,169073878,20001,256303174
HulkTheClimber,s309608,30004,238,30004,6080,30004,118044,30004,1928891,30004,2109685,30004,2233133
Multiple Hill climbing,s329444,3018,261,3597,6357,22698,122070,23029,50087303,23055,109581567,23069,174213453
Phantom seeker,s331156,15,284,748,6981,55,135879,401,2202607,556,2359428,314,2269879
Iterated Local Search with Simulated Annealing,s331387,90544,287,83065,6349,100001,257269,1011,107813806,1011,228211959,1011,361383359
Inverted Annealing,s323584,3002,271.5418021,6004,6780.586834,9006,1474268.085,12008,185110434.8,15010,416235376.7,18012,652417804.1
Tweak or Treat,s334681,10005,292,8600,6358,30655,123779,31554,2263403,34575,3550826,41923,2354705
Fast Annelaing Cycle,s314935,12,179,302,7524,10002,846614,10002,93408415,10002,202566934,20002,314622746
Improved Rarity HC + Restart (Multiple Candidates),s330654,681,281,5753,6253,56361,122119,111576,1942873,120064,2243775,122647,2338492
twenty-fifth HC,s328092,20002,279,20108,7294,20803,127950,18002,53129886,18736,113358851,12460,178527407
FastSingleMutationHC,s323270,20,281,115,7877,4889,127625,51335,1939231,59199,2155944,62586,2184591
PeakCover HC,s333971,7,278,805,7130,1328,775179,1483,112390646,1484,243730155,1489,382754542
Thermostat Respawn Algorithm,s330438,1232,263,10416,6408,11418,126875,2442,113063751,2472,248272169,2460,376320047
Hill climbing with Single Mutation,s324617,1001,133,1001,6812,1001,1450554,1001,119455084,1001,257970554,1001,405099519
Fast & Curious,s323112,19,278,385,6516,3389,133024,65570,1960565,59123,2209460,58320,2188215
Random Mutation Hill Climbing,s323387,1001,276,1001,6816,1001,858490,1001,112106316,1001,242374247,1001,382769381
Mirror climber + diversity start,s327277,85,273,1659,6935,1357,141349,771,2236521,815,2525050,837,2526972
Ice Climbers,s331163,303,222,3827,7106,4509,122973,5515,1958801,5561,2097122,5529,2096316
greedy best ratio approach,s323624,55,283,1560,5907,22818,101629,590089,1531891,309295,1721708,208622,1759410
